source	reference	translation
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Farmers wake up early to tend to crops.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
Train journeys offer scenic views.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
Farmers wake up early to tend to crops.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
Education opens doors to opportunities.	تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
Tourism brings revenue to regions with historical sites.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
The internet connects people across continents.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Children were playing cricket in the street.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Respecting elders is an important value.	وڏن کي عزت ڏيڻ هڪ اهم قدر آهي.	وڏن کي عزت ڏيڻ هڪ اهم قدر آهي.
Smartphones have changed how people communicate.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Birds were chirping in the trees.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
She received a scholarship to study medicine.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Sports teach teamwork and discipline.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
She walked slowly through the garden.	هوءَ باغ ۾ آهستي آهستي هلندي.	هوءَ باغ ۾ آهستي آهستي هلندي.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
The wedding ceremony lasted three days.	شادي جي تقريب ٽن ڏينهن تائين هلي.	شادي جي تقريب ٽن ڏينهن تائين هلي.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Regular exercise helps maintain good health.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
Children were playing cricket in the street.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
Birds were chirping in the trees.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
She received a scholarship to study medicine.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Respecting elders is an important value.	وڏن کي عزت ڏيڻ هڪ اهم قدر آهي.	وڏن کي عزت ڏيڻ هڪ اهم قدر آهي.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Children were playing cricket in the street.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
She received a scholarship to study medicine.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
Regular exercise helps maintain good health.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Agriculture remains the primary source of income.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
Farmers wake up early to tend to crops.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
People travel long distances to visit religious sites.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Sports teach teamwork and discipline.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
Agriculture remains the primary source of income.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Regular exercise helps maintain good health.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
The internet connects people across continents.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
Agriculture remains the primary source of income.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Smartphones have changed how people communicate.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
Regular exercise helps maintain good health.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.	منظم ورزش چنگي صحت برقرار رکڻ ۾ مدد ڪري ٿي.
Teachers shape young minds.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
Train journeys offer scenic views.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
The forest is home to many wild animals.	جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
She received a scholarship to study medicine.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
She received a scholarship to study medicine.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.	هوءَ طب جي تعليم لاءِ اسڪالرشپ حاصل ڪئي.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
I woke up early this morning.	مان اڄ صبح جلدي اٿي ويسم.	مان اڄ صبح جلدي اٿي ويسم.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Birds were chirping in the trees.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خريداري مقبول ٿي وئي آهي.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
She walked slowly through the garden.	هوءَ باغ ۾ آهستي آهستي هلندي.	هوءَ باغ ۾ آهستي آهستي هلندي.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Train journeys offer scenic views.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خريداري مقبول ٿي وئي آهي.
Agriculture remains the primary source of income.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.	زراعت آمدني جو بنيادي ذريعو رهي ٿي.
The forest is home to many wild animals.	جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
After finishing his work, he sat down.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
People travel long distances to visit religious sites.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Tourism brings revenue to regions with historical sites.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
Children were playing cricket in the street.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
Sports teach teamwork and discipline.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
Birds were chirping in the trees.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
