reference	hypothesis
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
سکول نے سائنس میلہ منظم کیتا۔	سکول نے سائنس میلہ منظم کیتا۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
کرکٹ ہک مقبول کھیڈ اے۔	کرکٹ ہک مقبول کھیڈ اے۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔	اسمارٹ فوناں نے لوکاں دے رابطے دے طریقے کوں تبدیل کیتا اے۔
کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
بس ڈیر نال پہنچی۔	بس ڈیر نال پہنچی۔
جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
کسان پانی والے کھیتراں وچ چاول پوکے۔	کسان پانی والے کھیتراں وچ چاول پوکے۔
سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
تازہ پھل کھان ضروری وٹامن فراہم کریندے۔	تازہ پھل کھان ضروری وٹامن فراہم کریندے۔
استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
